Date,country,Grocery & pharmacy,Parks,Residential,Retail & recreation,Transit stations,Workplace
2020-02-20,Kenya,-0.258,2.608,0.34,2.735,4.83,2.039
2020-02-20,Laos,0.796,1.087,1.46,-0.882,-7.488,12.915
2020-02-20,Latvia,1.531,6.213,-0.067,2.188,2.28,1.173
2020-02-20,Lithuania,1.524,13.762,2.321,0.181,0.658,-15.052
2020-02-20,Luxembourg,-5.389,-0.984,3.618,-7.073,-10.071,-23.165
2020-02-20,Malta,3.953,26.999,-0.824,9.326,9.606,1.997
2020-02-20,Mexico,-1.119,0.683,-1.34,-0.478,3.408,8.584
2020-02-20,Mozambique,-5.041,-3.696,-2.941,-5.214,-1.609,14.239
2020-02-20,Netherlands,0.966,4.647,0.907,3.279,-1.254,-7.088
2020-02-20,New Zealand,0.325,-3.376,-1.827,2.099,11.128,17.705
2020-02-20,North Macedonia,2.255,-3.198,-0.292,-1.419,1.443,6.315
2020-02-20,Norway,-1.171,2.936,1.981,-0.318,-6.96,-14.518
2020-02-20,Papua New Guinea,-0.465,-6.338,-0.167,1.308,-3.064,10.344
2020-02-20,Poland,-0.031,11.408,0.002,4.644,0.346,1.207
2020-02-20,Qatar,-0.404,9.119,1.524,-0.899,-1.913,2.692
2020-02-20,Romania,2.979,-6.322,-1.303,1.992,4.991,10.581
2020-02-20,Singapore,-12.619,-10.959,7.451,-13.069,-11.842,-3.082
2020-02-20,Slovakia,-0.631,24.86,1.167,2.343,-0.741,-8.425
2020-02-20,Slovenia,-0.069,21.247,0.236,2.919,-0.029,-11.112
2020-02-20,South Africa,-6.289,-5.131,-1.469,-4.934,1.927,3.24
2020-02-20,South Korea,-3.505,1.028,3.584,-10.127,-7.47,0.616
2020-02-20,Spain,1.43,16.627,-1.353,1.12,5.385,2.869
2020-02-20,Sweden,0.748,6.566,1.384,2.578,-4.187,-6.529
2020-02-20,Tanzania,-3.197,-1.555,0.83,-0.953,-1.546,-0.564
2020-02-20,Thailand,-0.707,-3.298,1.46,-3.9,-4.56,0.765
2020-02-20,Turkey,1.008,-1.441,-0.805,-2.483,-1.174,8.884
2020-02-20,United Kingdom,-1.474,6.019,2.861,4.799,-4.275,-14.449
2020-02-20,United States,-0.905,4.362,0.632,1.604,0.48,0.35
2020-02-20,Uruguay,-2.088,-18.157,-0.099,-1.639,-1.392,6.466
2020-02-20,Zambia,-13.806,-2.127,3.02,-9.636,-9.291,2.95
2020-02-21,Aruba,9.22,4.583,0.595,3.308,5.554,-11.998
2020-02-21,Australia,3.721,2.049,-1.996,3.996,10.342,11.624
2020-02-21,Belarus,8.762,13.773,-1.807,10.002,8.236,6.519
2020-02-21,Belgium,2.132,10.551,-0.067,-1.339,5.064,0.66
2020-02-21,Bosnia and Herzegovina,4.283,14.355,-1.449,3.223,5.839,8.874
2020-02-21,Brazil,8.621,5.888,-0.823,-0.022,9.661,7.414
2020-02-21,Bulgaria,1.951,-2.725,-0.64,-0.175,5.034,1.2
2020-02-21,Cambodia,-0.734,2.145,1.791,-0.012,-21.123,5.684
2020-02-21,Canada,0.987,16.04,0.457,3.49,1.301,-0.154
2020-02-21,Chile,4.837,9.84,1.201,-1.781,-4.27,-5.526
2020-02-21,Colombia,-1.39,-6.818,-0.282,-2.08,6.402,10.074
2020-02-21,Croatia,3.934,22.374,-0.979,4.799,4.708,0.997
2020-02-21,Czechia,4.25,13.227,-0.744,4.347,3.325,-0.066
2020-02-21,Denmark,-0.453,2.296,0.9,-1.35,-1.914,-2.627
2020-02-21,Ecuador,0.351,4.564,1.396,-1.446,-2.164,-10.998
2020-02-21,France,-1.901,29.01,1.877,-2.568,4.699,-12.175
2020-02-21,Gabon,-10.126,-12.85,3.672,-8.365,-9.822,1.213
2020-02-21,Germany,0.577,19.181,1.103,0.968,2.41,-5.708
2020-02-21,Greece,-4.857,-5.773,0.992,-4.404,-1.536,1.19
2020-02-21,Guatemala,-2.035,-0.121,-0.671,-0.635,-2.162,3.693
2020-02-21,Honduras,-0.09,-5.297,-0.484,-3.89,-2.281,7.454
2020-02-21,Hungary,2.01,12.957,-0.52,3.744,4.477,1.736
2020-02-21,Indonesia,-1.586,-4.646,0.428,-1.195,1.355,4.885
2020-02-21,Iraq,11.349,14.382,0.34,12.914,14.716,11.86
2020-02-21,Italy,2.23,22.552,-0.596,0.557,6.15,0.014
2020-02-21,Japan,1.444,1.177,1.193,-2.297,-2.728,-0.385
2020-02-21,Kenya,0.913,4.613,0.175,3.861,4.774,2.884
2020-02-21,Laos,2.915,0.273,1.899,0.28,-10.707,12.351
2020-02-21,Latvia,-0.072,-10.688,0.371,1.559,-0.273,0.16
2020-02-21,Lithuania,-0.221,1.698,1.871,-3.999,-0.501,-10.54
2020-02-21,Luxembourg,-1.686,16.134,2.832,-7.807,0.176,-16.714
2020-02-21,Malta,4.939,43.094,-1.379,9.001,11.645,0.459
2020-02-21,Mexico,-1.308,1.749,-0.819,-0.894,3.911,8.541
2020-02-21,Mozambique,0.178,-3.867,-2.879,-1.286,-2.824,11.621
2020-02-21,Netherlands,2.037,13.588,0.258,5.568,4.695,-6.987
2020-02-21,New Zealand,1.248,-7.284,-0.453,4.885,7.06,13.264
2020-02-21,North Macedonia,4.062,-0.521,-0.366,1.508,3.012,12.763
2020-02-21,Norway,-0.808,10.064,1.061,-0.489,-1.713,-11.055
2020-02-21,Papua New Guinea,5.598,-5.056,-0.242,6.502,-6.348,9.557
